Date,Average pressure [Pa]
2012-01-01_00,100956.86
2012-01-01_06,101162.89
2012-01-01_12,101245.8
2012-01-01_18,101488.914
2012-01-02_00,101605.836
2012-01-02_06,101651.71
2012-01-02_12,101562.625
2012-01-02_18,101651.805
2012-01-03_00,101628.86
2012-01-03_06,101704.56
2012-01-03_12,101586.16
2012-01-03_18,101652.64
2012-01-04_00,101563.99
2012-01-04_06,101498.14
2012-01-04_12,101168.945
2012-01-04_18,101144.92
2012-01-05_00,101007.375
2012-01-05_06,101056.49
2012-01-05_12,100861.984
2012-01-05_18,100896.02
2012-01-06_00,100693.625
2012-01-06_06,100544.77
2012-01-06_12,100246.78
2012-01-06_18,100081.59
2012-01-07_00,99782.59
2012-01-07_06,99896.09
2012-01-07_12,100141.7
2012-01-07_18,100562.914
2012-01-08_00,100677.17
2012-01-08_06,100810.64
2012-01-08_12,100858.72
2012-01-08_18,101066.945
2012-01-09_00,101142.99
2012-01-09_06,101113.99
2012-01-09_12,100923.14
2012-01-09_18,100855.88
2012-01-10_00,100674.83
2012-01-10_06,100749.31
2012-01-10_12,100843.7
2012-01-10_18,101205.984
2012-01-11_00,101308.2
2012-01-11_06,101382.125
2012-01-11_12,101349.805
2012-01-11_18,101438.625
2012-01-12_00,101468.6
2012-01-12_06,101601.54
2012-01-12_12,101635.67
2012-01-12_18,101738.625
2012-01-13_00,101737.57
2012-01-13_06,101760.96
2012-01-13_12,101675.17
2012-01-13_18,101690.58
2012-01-14_00,101669.625
2012-01-14_06,101574.09
2012-01-14_12,101397.36
2012-01-14_18,101302.05
2012-01-15_00,101185.79
2012-01-15_06,101055.01
2012-01-15_12,100802.39
2012-01-15_18,100805.69
2012-01-16_00,100811.52
2012-01-16_06,100801.1
2012-01-16_12,100759.62
2012-01-16_18,100879.445
2012-01-17_00,100899.76
2012-01-17_06,100998.17
2012-01-17_12,101006.47
2012-01-17_18,101116.04
2012-01-18_00,101193.8
2012-01-18_06,101338.766
2012-01-18_12,101321.36
2012-01-18_18,101491.84
2012-01-19_00,101632.35
2012-01-19_06,101858.375
2012-01-19_12,101920.9
2012-01-19_18,102042.14
2012-01-20_00,102166.21
2012-01-20_06,102089.234
2012-01-20_12,102000.46
2012-01-20_18,101876.49
2012-01-21_00,101761.695
2012-01-21_06,101634.305
2012-01-21_12,101479.76
2012-01-21_18,101443.97
2012-01-22_00,101360.695
2012-01-22_06,101290.164
2012-01-22_12,101213.21
2012-01-22_18,101322.02
2012-01-23_00,101313.65
2012-01-23_06,101301.3
2012-01-23_12,101160.914
2012-01-23_18,100980.47
2012-01-24_00,100770.7
2012-01-24_06,100601.66
2012-01-24_12,100366.26
2012-01-24_18,100534.96
2012-01-25_00,100532.3
2012-01-25_06,100489.914
2012-01-25_12,100361.89
2012-01-25_18,100453.664
2012-01-26_00,100539.45
2012-01-26_06,100615.92
2012-01-26_12,100673.68
2012-01-26_18,100942.8
2012-01-27_00,101130.2
2012-01-27_06,101348.05
2012-01-27_12,101332.984
2012-01-27_18,101307.49
2012-01-28_00,101355.125
