Date,Average temperature [K]
2012-01-01_00,298.78247
2012-01-01_06,294.4497
2012-01-01_12,292.23816
2012-01-01_18,302.34857
2012-01-02_00,296.13617
2012-01-02_06,292.35217
2012-01-02_12,295.04443
2012-01-02_18,301.222
2012-01-03_00,295.8357
2012-01-03_06,293.9209
2012-01-03_12,293.69006
2012-01-03_18,299.225
2012-01-04_00,296.11362
2012-01-04_06,295.6286
2012-01-04_12,292.87488
2012-01-04_18,299.87524
2012-01-05_00,296.35446
2012-01-05_06,293.80017
2012-01-05_12,292.39838
2012-01-05_18,298.96906
2012-01-06_00,295.6057
2012-01-06_06,293.89752
2012-01-06_12,292.1435
2012-01-06_18,301.90662
2012-01-07_00,297.23312
2012-01-07_06,292.64526
2012-01-07_12,291.82513
2012-01-07_18,300.6161
2012-01-08_00,296.4826
2012-01-08_06,293.61264
2012-01-08_12,291.65344
2012-01-08_18,302.35046
2012-01-09_00,296.45856
2012-01-09_06,293.29095
2012-01-09_12,290.96918
2012-01-09_18,300.07663
2012-01-10_00,295.86066
2012-01-10_06,295.45093
2012-01-10_12,291.7052
2012-01-10_18,301.3194
2012-01-11_00,296.0912
2012-01-11_06,293.9063
2012-01-11_12,292.65668
2012-01-11_18,301.62207
2012-01-12_00,296.79578
2012-01-12_06,294.34683
2012-01-12_12,293.4319
2012-01-12_18,300.38678
2012-01-13_00,296.70648
2012-01-13_06,293.3047
2012-01-13_12,291.8921
2012-01-13_18,299.75632
2012-01-14_00,299.01172
2012-01-14_06,293.4475
2012-01-14_12,292.30215
2012-01-14_18,302.54724
2012-01-15_00,297.12994
2012-01-15_06,294.66647
2012-01-15_12,292.87415
2012-01-15_18,300.9135
2012-01-16_00,298.58246
2012-01-16_06,292.68182
2012-01-16_12,291.72034
2012-01-16_18,299.7508
2012-01-17_00,295.66223
2012-01-17_06,293.10986
2012-01-17_12,291.9825
2012-01-17_18,300.70068
2012-01-18_00,295.75897
2012-01-18_06,293.03632
2012-01-18_12,291.1538
2012-01-18_18,300.32098
2012-01-19_00,295.878
2012-01-19_06,292.91113
2012-01-19_12,290.44183
2012-01-19_18,299.37817
2012-01-20_00,296.0573
2012-01-20_06,293.04672
2012-01-20_12,290.31573
2012-01-20_18,299.26703
2012-01-21_00,294.67615
2012-01-21_06,291.8344
2012-01-21_12,289.824
2012-01-21_18,299.9823
2012-01-22_00,296.21588
2012-01-22_06,292.21368
2012-01-22_12,290.28433
2012-01-22_18,300.5497
2012-01-23_00,295.98608
2012-01-23_06,293.7353
2012-01-23_12,291.07092
2012-01-23_18,301.3673
2012-01-24_00,297.4592
2012-01-24_06,294.4052
2012-01-24_12,292.8891
2012-01-24_18,301.59558
2012-01-25_00,295.41852
2012-01-25_06,293.393
2012-01-25_12,293.06732
2012-01-25_18,298.07968
2012-01-26_00,295.34692
2012-01-26_06,293.24692
2012-01-26_12,291.79724
2012-01-26_18,300.75888
2012-01-27_00,295.55527
2012-01-27_06,293.33197
2012-01-27_12,291.8775
2012-01-27_18,300.6053
2012-01-28_00,295.7499
2012-01-28_06,292.8625
2012-01-28_12,292.06128
2012-01-28_18,300.3966
2012-01-29_00,296.1042
2012-01-29_06,292.4527
2012-01-29_12,291.68637
2012-01-29_18,298.61987
2012-01-30_00,295.16357
2012-01-30_06,292.54248
2012-01-30_12,292.02124
2012-01-30_18,298.87384
2012-01-31_00,295.07462
2012-01-31_06,293.23895
2012-01-31_12,292.0775
2012-01-31_18,298.54388
2012-02-01_00,295.6847
2012-02-01_06,293.0962
2012-02-01_12,290.5746
2012-02-01_18,299.67743
2012-02-02_00,295.26678
2012-02-02_06,292.0364
2012-02-02_12,290.58862
2012-02-02_18,301.56458
2012-02-03_00,295.6817
2012-02-03_06,293.0656
2012-02-03_12,290.12744
2012-02-03_18,299.22815
2012-02-04_00,295.6247
2012-02-04_06,292.29517
2012-02-04_12,290.94196
2012-02-04_18,300.46924
2012-02-05_00,297.7713
2012-02-05_06,292.8114
2012-02-05_12,292.23193
2012-02-05_18,303.76074
2012-02-06_00,296.53876
2012-02-06_06,294.6347
2012-02-06_12,292.20782
2012-02-06_18,301.3474
2012-02-07_00,295.20917
2012-02-07_06,295.22952
2012-02-07_12,293.73102
2012-02-07_18,301.17123
2012-02-08_00,296.49487
2012-02-08_06,294.20074
2012-02-08_12,292.83585
2012-02-08_18,301.06415
2012-02-09_00,297.88605
2012-02-09_06,294.58002
2012-02-09_12,292.73248
2012-02-09_18,301.65033
2012-02-10_00,296.6685
2012-02-10_06,294.28314
2012-02-10_12,292.12738
2012-02-10_18,302.44275
2012-02-11_00,295.63037
2012-02-11_06,294.0578
2012-02-11_12,292.71664
2012-02-11_18,302.601
2012-02-12_00,296.096
2012-02-12_06,294.0328
2012-02-12_12,292.16864
2012-02-12_18,300.7423
2012-02-13_00,295.05496
2012-02-13_06,293.71863
2012-02-13_12,294.52557
2012-02-13_18,301.3366
2012-02-14_00,297.21735
2012-02-14_06,293.62082
2012-02-14_12,291.80206
2012-02-14_18,300.2426
2012-02-15_00,296.16235
2012-02-15_06,292.41855
