Date,Average temperature [K]
2015-01-01_00,284.55927
2015-01-01_06,280.63055
2015-01-01_12,280.097
2015-01-01_18,278.62946
2015-01-02_00,281.37296
2015-01-02_06,281.65912
2015-01-02_12,279.79395
2015-01-02_18,278.91016
2015-01-03_00,280.0739
2015-01-03_06,281.80774
2015-01-03_12,281.2044
2015-01-03_18,283.2552
2015-01-04_00,282.47083
2015-01-04_06,284.62872
2015-01-04_12,281.4465
2015-01-04_18,283.11368
2015-01-05_00,284.47858
2015-01-05_06,284.2718
2015-01-05_12,282.1692
2015-01-05_18,283.2719
2015-01-06_00,284.80908
2015-01-06_06,288.87094
2015-01-06_12,290.20306
2015-01-06_18,284.71106
2015-01-07_00,280.3996
2015-01-07_06,281.98254
2015-01-07_12,281.58255
2015-01-07_18,281.57053
2015-01-08_00,281.5074
2015-01-08_06,282.8477
2015-01-08_12,282.2276
2015-01-08_18,282.51987
2015-01-09_00,280.58093
2015-01-09_06,283.54062
2015-01-09_12,281.5155
2015-01-09_18,282.34418
2015-01-10_00,282.2468
2015-01-10_06,281.55054
2015-01-10_12,282.46436
2015-01-10_18,280.61316
2015-01-11_00,281.83246
2015-01-11_06,282.89172
2015-01-11_12,280.42828
2015-01-11_18,281.3075
2015-01-12_00,281.2223
2015-01-12_06,282.50076
2015-01-12_12,282.12512
2015-01-12_18,283.35657
2015-01-13_00,281.9557
2015-01-13_06,283.48834
2015-01-13_12,281.84424
2015-01-13_18,282.33722
2015-01-14_00,282.4046
2015-01-14_06,284.77063
2015-01-14_12,285.7929
2015-01-14_18,286.7184
2015-01-15_00,285.91077
2015-01-15_06,286.47882
2015-01-15_12,286.2669
2015-01-15_18,285.60364
2015-01-16_00,284.64096
2015-01-16_06,284.28278
2015-01-16_12,282.48102
2015-01-16_18,283.9135
2015-01-17_00,286.63092
2015-01-17_06,286.15222
2015-01-17_12,281.8271
2015-01-17_18,278.50293
2015-01-18_00,279.31506
2015-01-18_06,280.21515
2015-01-18_12,281.0036
2015-01-18_18,281.2121
2015-01-19_00,284.81616
2015-01-19_06,286.1292
2015-01-19_12,283.90125
2015-01-19_18,282.928
2015-01-20_00,281.7503
2015-01-20_06,281.48615
2015-01-20_12,279.95673
2015-01-20_18,279.3244
2015-01-21_00,279.9447
2015-01-21_06,281.63046
2015-01-21_12,281.27155
2015-01-21_18,283.86368
2015-01-22_00,285.45166
2015-01-22_06,284.55518
2015-01-22_12,286.16553
2015-01-22_18,290.34497
2015-01-23_00,285.14813
2015-01-23_06,285.16272
2015-01-23_12,283.2931
2015-01-23_18,282.661
2015-01-24_00,281.50012
2015-01-24_06,282.33612
2015-01-24_12,280.97382
2015-01-24_18,280.9765
2015-01-25_00,281.52942
2015-01-25_06,283.98917
2015-01-25_12,281.29602
2015-01-25_18,281.92654
2015-01-26_00,284.43982
2015-01-26_06,284.95312
2015-01-26_12,286.2019
2015-01-26_18,287.5521
2015-01-27_00,287.7547
2015-01-27_06,289.18585
2015-01-27_12,287.07452
2015-01-27_18,283.60327
2015-01-28_00,281.02533
2015-01-28_06,279.53665
2015-01-28_12,279.98257
2015-01-28_18,279.5979
2015-01-29_00,280.03766
2015-01-29_06,279.66003
2015-01-29_12,280.08228
2015-01-29_18,279.13666
2015-01-30_00,280.7936
2015-01-30_06,283.02832
2015-01-30_12,285.63507
