Date,Average temperature [K]
2016-01-01_00,290.09723
2016-01-01_06,290.621
2016-01-01_12,289.50757
2016-01-01_18,290.30035
2016-01-02_00,292.14624
2016-01-02_06,292.1549
2016-01-02_12,288.4029
2016-01-02_18,290.42517
2016-01-03_00,290.98303
2016-01-03_06,292.72296
2016-01-03_12,290.43314
2016-01-03_18,290.6057
2016-01-04_00,291.75952
2016-01-04_06,293.10965
2016-01-04_12,289.2014
2016-01-04_18,290.3247
2016-01-05_00,291.01215
2016-01-05_06,290.47595
2016-01-05_12,291.15027
2016-01-05_18,291.7495
2016-01-06_00,294.1905
2016-01-06_06,294.1178
2016-01-06_12,290.18304
2016-01-06_18,289.753
2016-01-07_00,294.43384
2016-01-07_06,295.38815
2016-01-07_12,289.43097
2016-01-07_18,288.08658
2016-01-08_00,293.21436
2016-01-08_06,295.14148
2016-01-08_12,289.8148
2016-01-08_18,289.80243
2016-01-09_00,292.66864
2016-01-09_06,293.66656
2016-01-09_12,291.2486
2016-01-09_18,292.58197
2016-01-10_00,293.7198
2016-01-10_06,296.41315
2016-01-10_12,291.3627
2016-01-10_18,292.09116
2016-01-11_00,293.24115
2016-01-11_06,294.8868
2016-01-11_12,288.70743
2016-01-11_18,289.97168
2016-01-12_00,292.8856
2016-01-12_06,292.0719
2016-01-12_12,289.48843
2016-01-12_18,287.8086
2016-01-13_00,291.56195
2016-01-13_06,290.95294
2016-01-13_12,289.2036
2016-01-13_18,290.3899
2016-01-14_00,291.86664
2016-01-14_06,292.82034
2016-01-14_12,289.15067
2016-01-14_18,288.13333
2016-01-15_00,292.70453
2016-01-15_06,293.84552
2016-01-15_12,290.5531
2016-01-15_18,290.80847
2016-01-16_00,293.51447
2016-01-16_06,294.8786
2016-01-16_12,292.95566
2016-01-16_18,293.24774
2016-01-17_00,296.5228
2016-01-17_06,295.00623
2016-01-17_12,290.94537
2016-01-17_18,292.12085
2016-01-18_00,293.35345
2016-01-18_06,292.64685
2016-01-18_12,291.0122
2016-01-18_18,291.22803
2016-01-19_00,292.2578
2016-01-19_06,291.72375
2016-01-19_12,290.58698
2016-01-19_18,291.62762
2016-01-20_00,292.24274
2016-01-20_06,290.20654
2016-01-20_12,289.94836
2016-01-20_18,290.58038
2016-01-21_00,290.22107
2016-01-21_06,290.15637
2016-01-21_12,289.78354
2016-01-21_18,290.22833
2016-01-22_00,292.3092
2016-01-22_06,292.896
2016-01-22_12,289.84094
2016-01-22_18,289.54004
2016-01-23_00,292.6121
2016-01-23_06,293.6209
2016-01-23_12,290.03824
2016-01-23_18,291.18533
2016-01-24_00,292.87042
2016-01-24_06,292.5951
2016-01-24_12,291.6072
2016-01-24_18,291.58557
2016-01-25_00,293.44678
2016-01-25_06,291.59213
2016-01-25_12,291.85358
2016-01-25_18,291.39752
2016-01-26_00,292.72165
2016-01-26_06,294.21304
2016-01-26_12,291.28162
2016-01-26_18,291.2179
2016-01-27_00,293.26074
2016-01-27_06,293.22568
2016-01-27_12,290.55963
2016-01-27_18,290.68945
2016-01-28_00,291.92618
2016-01-28_06,292.94073
2016-01-28_12,290.74786
2016-01-28_18,292.42096
2016-01-29_00,293.5211
2016-01-29_06,294.30823
2016-01-29_12,290.55267
2016-01-29_18,289.9672
2016-01-30_00,294.3192
2016-01-30_06,297.3399
2016-01-30_12,292.22214
2016-01-30_18,292.9769
2016-01-31_00,293.6578
2016-01-31_06,289.65765
2016-01-31_12,287.7354
2016-01-31_18,286.26987
2016-02-01_00,289.17645
2016-02-01_06,290.8596
2016-02-01_12,288.39746
2016-02-01_18,288.9546
2016-02-02_00,291.60468
2016-02-02_06,292.1912
2016-02-02_12,289.578
2016-02-02_18,290.20087
2016-02-03_00,292.734
2016-02-03_06,293.27612
2016-02-03_12,288.87622
2016-02-03_18,288.41595
2016-02-04_00,294.04645
2016-02-04_06,296.09454
2016-02-04_12,289.2829
2016-02-04_18,291.0621
2016-02-05_00,296.21533
2016-02-05_06,298.69934
2016-02-05_12,292.09854
2016-02-05_18,289.77985
2016-02-06_00,292.59235
2016-02-06_06,293.28754
2016-02-06_12,290.4228
2016-02-06_18,290.5434
2016-02-07_00,292.64395
2016-02-07_06,296.20694
2016-02-07_12,292.0132
2016-02-07_18,290.87762
2016-02-08_00,294.7406
2016-02-08_06,298.73557
2016-02-08_12,291.18246
2016-02-08_18,290.88837
2016-02-09_00,298.08246
2016-02-09_06,300.0589
2016-02-09_12,292.82953
2016-02-09_18,292.25134
2016-02-10_00,293.0593
2016-02-10_06,294.54333
2016-02-10_12,290.5723
2016-02-10_18,290.97067
2016-02-11_00,294.98248
2016-02-11_06,296.06128
2016-02-11_12,289.57092
2016-02-11_18,291.4768
2016-02-12_00,293.57797
2016-02-12_06,293.75644
2016-02-12_12,290.9166
2016-02-12_18,290.42438
2016-02-13_00,291.77246
2016-02-13_06,291.70776
2016-02-13_12,290.33643
2016-02-13_18,291.27725
2016-02-14_00,291.69473
2016-02-14_06,293.2751
2016-02-14_12,290.77255
2016-02-14_18,290.61047
2016-02-15_00,292.3948
2016-02-15_06,292.61047
2016-02-15_12,289.78424
2016-02-15_18,290.07678
2016-02-16_00,293.82922
