Date,Average temperature [K]
2017-01-01_00,286.571
2017-01-01_06,287.5066
2017-01-01_12,289.70056
2017-01-01_18,288.28003
2017-01-02_00,287.61212
2017-01-02_06,286.85858
2017-01-02_12,289.25452
2017-01-02_18,288.1501
2017-01-03_00,286.50958
2017-01-03_06,285.86072
2017-01-03_12,289.57376
2017-01-03_18,286.55878
2017-01-04_00,286.24646
2017-01-04_06,287.1415
2017-01-04_12,290.15216
2017-01-04_18,289.32248
2017-01-05_00,288.03195
2017-01-05_06,287.54892
2017-01-05_12,290.92505
2017-01-05_18,289.33044
2017-01-06_00,287.53534
2017-01-06_06,286.47726
2017-01-06_12,291.5736
2017-01-06_18,290.50708
2017-01-07_00,288.07025
2017-01-07_06,288.21014
2017-01-07_12,288.3278
2017-01-07_18,289.13998
2017-01-08_00,288.31415
2017-01-08_06,287.66104
2017-01-08_12,288.56067
2017-01-08_18,287.44324
2017-01-09_00,286.2333
2017-01-09_06,286.24976
2017-01-09_12,286.4237
2017-01-09_18,287.11206
2017-01-10_00,286.2264
2017-01-10_06,286.0581
2017-01-10_12,289.25662
2017-01-10_18,289.1717
2017-01-11_00,285.36188
2017-01-11_06,285.94202
2017-01-11_12,291.48795
2017-01-11_18,289.52844
2017-01-12_00,288.07855
2017-01-12_06,288.29788
2017-01-12_12,290.73474
2017-01-12_18,289.549
2017-01-13_00,287.53033
2017-01-13_06,289.4839
2017-01-13_12,291.06985
2017-01-13_18,289.66382
2017-01-14_00,289.2217
2017-01-14_06,290.31638
2017-01-14_12,289.4729
2017-01-14_18,289.72086
2017-01-15_00,288.10638
2017-01-15_06,288.00897
2017-01-15_12,290.6316
2017-01-15_18,289.08362
2017-01-16_00,287.7461
2017-01-16_06,287.79257
2017-01-16_12,292.43115
2017-01-16_18,289.0164
2017-01-17_00,288.0597
2017-01-17_06,287.26105
2017-01-17_12,291.53162
2017-01-17_18,290.12393
2017-01-18_00,288.15973
2017-01-18_06,287.91794
2017-01-18_12,290.69904
2017-01-18_18,289.8109
2017-01-19_00,288.04422
2017-01-19_06,287.23975
2017-01-19_12,290.9276
2017-01-19_18,289.50427
2017-01-20_00,288.3711
2017-01-20_06,287.56763
2017-01-20_12,290.25015
2017-01-20_18,288.74557
2017-01-21_00,288.34326
2017-01-21_06,288.7279
2017-01-21_12,289.06036
2017-01-21_18,288.60095
2017-01-22_00,288.54303
2017-01-22_06,289.1535
2017-01-22_12,290.23047
2017-01-22_18,288.89783
2017-01-23_00,289.37482
2017-01-23_06,288.44788
2017-01-23_12,291.73865
2017-01-23_18,288.56635
2017-01-24_00,288.20596
2017-01-24_06,288.1375
2017-01-24_12,293.48645
2017-01-24_18,292.4324
2017-01-25_00,293.53796
2017-01-25_06,290.24707
2017-01-25_12,288.7909
2017-01-25_18,288.70847
2017-01-26_00,288.5915
2017-01-26_06,288.08685
2017-01-26_12,288.62476
2017-01-26_18,287.42566
2017-01-27_00,287.89783
2017-01-27_06,289.26163
2017-01-27_12,285.1487
2017-01-27_18,285.2636
2017-01-28_00,285.6222
2017-01-28_06,287.2503
2017-01-28_12,287.05652
2017-01-28_18,286.63446
2017-01-29_00,287.62012
