Date,Average temperature [K]
2017-01-01_00,284.34738
2017-01-01_06,280.90503
2017-01-01_12,281.0204
2017-01-01_18,280.51636
2017-01-02_00,280.78888
2017-01-02_06,279.98944
2017-01-02_12,281.03674
2017-01-02_18,279.32782
2017-01-03_00,279.43976
2017-01-03_06,279.90906
2017-01-03_12,280.84622
2017-01-03_18,280.21014
2017-01-04_00,281.07166
2017-01-04_06,280.43204
2017-01-04_12,281.09357
2017-01-04_18,281.2551
2017-01-05_00,280.9836
2017-01-05_06,280.95468
2017-01-05_12,282.1184
2017-01-05_18,283.00085
2017-01-06_00,283.8532
2017-01-06_06,283.6804
2017-01-06_12,283.87146
2017-01-06_18,284.11108
2017-01-07_00,283.977
2017-01-07_06,283.8083
2017-01-07_12,283.92105
2017-01-07_18,283.5853
2017-01-08_00,283.63983
2017-01-08_06,283.65323
2017-01-08_12,283.87268
2017-01-08_18,284.05212
2017-01-09_00,283.7924
2017-01-09_06,283.6609
2017-01-09_12,283.2704
2017-01-09_18,282.11743
2017-01-10_00,282.12094
2017-01-10_06,282.36914
2017-01-10_12,283.8406
2017-01-10_18,284.32062
2017-01-11_00,284.65485
2017-01-11_06,284.18713
2017-01-11_12,282.673
2017-01-11_18,281.7218
2017-01-12_00,281.86517
2017-01-12_06,281.1226
2017-01-12_12,278.5868
2017-01-12_18,278.3366
2017-01-13_00,278.7569
2017-01-13_06,278.39648
2017-01-13_12,279.54788
2017-01-13_18,279.45728
2017-01-14_00,279.69388
2017-01-14_06,280.53024
2017-01-14_12,281.72534
2017-01-14_18,282.03384
2017-01-15_00,282.2011
2017-01-15_06,282.9079
2017-01-15_12,283.8645
2017-01-15_18,283.72815
2017-01-16_00,283.60596
2017-01-16_06,283.13974
2017-01-16_12,283.53613
2017-01-16_18,283.08182
2017-01-17_00,283.20325
2017-01-17_06,283.04572
2017-01-17_12,283.1786
2017-01-17_18,282.78165
2017-01-18_00,282.91217
2017-01-18_06,282.68063
2017-01-18_12,282.21075
2017-01-18_18,281.8202
2017-01-19_00,281.53397
2017-01-19_06,281.4048
2017-01-19_12,281.5902
2017-01-19_18,281.30115
2017-01-20_00,281.51172
2017-01-20_06,280.6599
2017-01-20_12,280.9606
2017-01-20_18,279.17673
2017-01-21_00,278.46533
2017-01-21_06,278.41052
2017-01-21_12,279.1458
2017-01-21_18,278.83875
2017-01-22_00,279.8907
2017-01-22_06,281.13788
2017-01-22_12,282.10938
2017-01-22_18,282.08044
2017-01-23_00,282.36847
2017-01-23_06,283.03235
2017-01-23_12,283.4242
2017-01-23_18,281.89838
2017-01-24_00,282.1674
2017-01-24_06,283.30548
2017-01-24_12,283.26624
2017-01-24_18,283.25906
2017-01-25_00,282.84265
2017-01-25_06,282.61963
2017-01-25_12,283.1322
2017-01-25_18,282.11716
2017-01-26_00,281.0788
2017-01-26_06,279.22357
2017-01-26_12,279.17065
2017-01-26_18,279.73376
2017-01-27_00,280.724
2017-01-27_06,281.18936
2017-01-27_12,282.66727
2017-01-27_18,282.26117
2017-01-28_00,281.5265
2017-01-28_06,280.52765
2017-01-28_12,281.59314
2017-01-28_18,280.3498
2017-01-29_00,281.06445
2017-01-29_06,281.85617
2017-01-29_12,282.8063
2017-01-29_18,283.26868
2017-01-30_00,282.7289
2017-01-30_06,282.9037
2017-01-30_12,283.49097
2017-01-30_18,283.63538
2017-01-31_00,283.73337
2017-01-31_06,283.40674
2017-01-31_12,283.50385
2017-01-31_18,282.5819
2017-02-01_00,282.4027
2017-02-01_06,282.77383
2017-02-01_12,283.43555
2017-02-01_18,283.4229
2017-02-02_00,284.365
2017-02-02_06,283.96582
2017-02-02_12,284.48926
2017-02-02_18,283.73114
2017-02-03_00,282.09344
2017-02-03_06,282.30496
2017-02-03_12,280.2071
2017-02-03_18,280.3817
2017-02-04_00,280.2343
2017-02-04_06,280.7245
2017-02-04_12,281.52222
2017-02-04_18,280.44443
2017-02-05_00,280.35785
2017-02-05_06,280.76715
2017-02-05_12,281.6809
2017-02-05_18,281.12207
2017-02-06_00,280.44666
2017-02-06_06,281.86926
2017-02-06_12,281.83966
2017-02-06_18,284.10538
2017-02-07_00,282.47842
2017-02-07_06,281.1824
2017-02-07_12,281.29492
2017-02-07_18,280.4051
2017-02-08_00,280.30563
2017-02-08_06,280.14038
2017-02-08_12,282.10248
2017-02-08_18,281.4212
2017-02-09_00,280.7163
2017-02-09_06,280.4499
2017-02-09_12,278.8095
2017-02-09_18,278.5736
2017-02-10_00,278.54987
2017-02-10_06,277.9082
2017-02-10_12,278.1715
2017-02-10_18,278.05832
2017-02-11_00,278.40283
2017-02-11_06,278.89938
2017-02-11_12,278.92432
2017-02-11_18,279.2005
2017-02-12_00,278.94165
2017-02-12_06,279.3145
2017-02-12_12,278.9408
2017-02-12_18,278.86554
2017-02-13_00,279.3377
2017-02-13_06,281.0036
2017-02-13_12,281.6337
2017-02-13_18,282.99396
2017-02-14_00,281.8631
2017-02-14_06,280.93643
2017-02-14_12,282.62534
2017-02-14_18,282.5267
2017-02-15_00,282.51996
2017-02-15_06,282.7058
2017-02-15_12,283.49597
2017-02-15_18,282.68634
2017-02-16_00,282.16495
2017-02-16_06,282.35776
2017-02-16_12,283.17215
2017-02-16_18,283.13605
2017-02-17_00,282.78412
2017-02-17_06,283.0743
2017-02-17_12,283.50293
2017-02-17_18,282.85184
2017-02-18_00,282.98047
2017-02-18_06,283.16647
2017-02-18_12,283.39886
2017-02-18_18,282.40955
2017-02-19_00,282.97543
2017-02-19_06,282.6294
2017-02-19_12,283.17114
2017-02-19_18,283.5819
2017-02-20_00,283.79556
2017-02-20_06,283.06024
2017-02-20_12,283.25778
2017-02-20_18,283.06848
2017-02-21_00,283.3496
2017-02-21_06,283.26797
2017-02-21_12,283.88495
2017-02-21_18,283.4662
2017-02-22_00,283.75174
2017-02-22_06,283.75024
2017-02-22_12,283.8576
2017-02-22_18,283.35223
2017-02-23_00,283.44055
2017-02-23_06,282.58264
2017-02-23_12,281.72394
