Date,Average pressure [Pa]
2019-01-01_00,93227.414
2019-01-01_06,92912.48
2019-01-01_12,92717.09
2019-01-01_18,92515.28
2019-01-02_00,92310.67
2019-01-02_06,92187.94
2019-01-02_12,92242.31
2019-01-02_18,92317.82
2019-01-03_00,92346.07
2019-01-03_06,92250.02
2019-01-03_12,92093.555
2019-01-03_18,91834.766
2019-01-04_00,91649.85
2019-01-04_06,91586.42
2019-01-04_12,91420.12
2019-01-04_18,91197.875
2019-01-05_00,91270.53
2019-01-05_06,91535.11
2019-01-05_12,91873.56
2019-01-05_18,92218.66
2019-01-06_00,92497.36
2019-01-06_06,92336.26
2019-01-06_12,92353.61
2019-01-06_18,92463.72
2019-01-07_00,92521.78
2019-01-07_06,92553.88
2019-01-07_12,92679.49
2019-01-07_18,92682.74
2019-01-08_00,92625.83
2019-01-08_06,92493.97
2019-01-08_12,92420.016
2019-01-08_18,92312.84
2019-01-09_00,92342.19
2019-01-09_06,92469.66
2019-01-09_12,92869.51
2019-01-09_18,93377.195
2019-01-10_00,93912.016
2019-01-10_06,94242.38
2019-01-10_12,94490.99
2019-01-10_18,94529.93
2019-01-11_00,94517.58
2019-01-11_06,94530.27
2019-01-11_12,94593.484
2019-01-11_18,94624.68
2019-01-12_00,94510.52
2019-01-12_06,94276.805
2019-01-12_12,94067.82
2019-01-12_18,93941.89
2019-01-13_00,93908.2
2019-01-13_06,93822.36
2019-01-13_12,93647.68
2019-01-13_18,93532.766
2019-01-14_00,93401.05
2019-01-14_06,93199.516
2019-01-14_12,92929.49
2019-01-14_18,92658.27
2019-01-15_00,92512.625
2019-01-15_06,92371.9
2019-01-15_12,92305.375
2019-01-15_18,92219.164
2019-01-16_00,92163.45
2019-01-16_06,92043.53
2019-01-16_12,92057.35
2019-01-16_18,92173.22
2019-01-17_00,92454.734
2019-01-17_06,92663.72
2019-01-17_12,92958.74
2019-01-17_18,93124.91
2019-01-18_00,93198.9
2019-01-18_06,93086.59
2019-01-18_12,92927.02
2019-01-18_18,92667.92
2019-01-19_00,92348.37
2019-01-19_06,91944.875
2019-01-19_12,91705.56
2019-01-19_18,91477.25
2019-01-20_00,91438.766
2019-01-20_06,91406.01
2019-01-20_12,91534.35
2019-01-20_18,91633.25
2019-01-21_00,91785.67
2019-01-21_06,91967.45
2019-01-21_12,92201.69
2019-01-21_18,92361.79
2019-01-22_00,92502.39
2019-01-22_06,92404.39
2019-01-22_12,92341.8
2019-01-22_18,92271.0
2019-01-23_00,92352.88
2019-01-23_06,92316.555
2019-01-23_12,92294.12
2019-01-23_18,92342.12
2019-01-24_00,92504.88
2019-01-24_06,92684.2
2019-01-24_12,92913.89
2019-01-24_18,93126.0
2019-01-25_00,93259.375
2019-01-25_06,93313.13
2019-01-25_12,93360.2
2019-01-25_18,93364.06
2019-01-26_00,93207.2
2019-01-26_06,93019.41
2019-01-26_12,92757.23
2019-01-26_18,92472.46
2019-01-27_00,92251.56
2019-01-27_06,92074.586
2019-01-27_12,92070.85
2019-01-27_18,92153.0
2019-01-28_00,92324.125
2019-01-28_06,92487.59
2019-01-28_12,92710.18
2019-01-28_18,92987.5
2019-01-29_00,93327.586
2019-01-29_06,93578.03
2019-01-29_12,93712.57
2019-01-29_18,93669.12
2019-01-30_00,93620.97
2019-01-30_06,93539.625
2019-01-30_12,93620.97
2019-01-30_18,93710.305
2019-01-31_00,93894.12
2019-01-31_06,93960.81
2019-01-31_12,94040.67
2019-01-31_18,93980.664
2019-02-01_00,93873.875
2019-02-01_06,93613.5
2019-02-01_12,93391.234
2019-02-01_18,93114.016
2019-02-02_00,92930.766
2019-02-02_06,92834.35
2019-02-02_12,92822.51
2019-02-02_18,92761.35
2019-02-03_00,92798.98
2019-02-03_06,92803.836
2019-02-03_12,92894.77
2019-02-03_18,92975.0
2019-02-04_00,93201.93
2019-02-04_06,93302.27
2019-02-04_12,93488.6
2019-02-04_18,93537.016
2019-02-05_00,93683.27
2019-02-05_06,93674.95
2019-02-05_12,93758.055
2019-02-05_18,93699.68
2019-02-06_00,93637.74
2019-02-06_06,93521.97
2019-02-06_12,93494.336
2019-02-06_18,93435.18
2019-02-07_00,93403.78
2019-02-07_06,93216.38
2019-02-07_12,93158.89
2019-02-07_18,93121.22
2019-02-08_00,93193.12
2019-02-08_06,93197.46
2019-02-08_12,93197.266
2019-02-08_18,93360.16
2019-02-09_00,93426.66
2019-02-09_06,93298.51
2019-02-09_12,93217.8
2019-02-09_18,93238.11
2019-02-10_00,93324.414
2019-02-10_06,93400.85
2019-02-10_12,93462.45
2019-02-10_18,93453.49
2019-02-11_00,93464.97
2019-02-11_06,93416.19
2019-02-11_12,93399.875
2019-02-11_18,93386.79
2019-02-12_00,93400.125
2019-02-12_06,93261.65
2019-02-12_12,93167.67
2019-02-12_18,93073.805
2019-02-13_00,93070.05
2019-02-13_06,92969.68
2019-02-13_12,92964.19
2019-02-13_18,92843.53
2019-02-14_00,92873.98
2019-02-14_06,92818.51
2019-02-14_12,92875.414
2019-02-14_18,92884.96
2019-02-15_00,92922.02
2019-02-15_06,92947.586
2019-02-15_12,93056.59
2019-02-15_18,93198.0
2019-02-16_00,93394.68
2019-02-16_06,93538.67
2019-02-16_12,93665.164
2019-02-16_18,93780.86
2019-02-17_00,93901.516
2019-02-17_06,93862.43
2019-02-17_12,93883.86
2019-02-17_18,93701.98
2019-02-18_00,93498.09
2019-02-18_06,93165.21
2019-02-18_12,92828.125
2019-02-18_18,92518.82
2019-02-19_00,92343.06
2019-02-19_06,92093.09
2019-02-19_12,91998.22
2019-02-19_18,91935.23
2019-02-20_00,91911.67
2019-02-20_06,91854.34
2019-02-20_12,91980.62
2019-02-20_18,92025.32
