Date,Average Pressure [Pa]
2019-01-01_00,97002.805
2019-01-01_06,96624.586
2019-01-01_12,96556.55
2019-01-01_18,96390.28
2019-01-02_00,96691.14
2019-01-02_06,96574.66
2019-01-02_12,96723.17
2019-01-02_18,96647.9
2019-01-03_00,96846.46
2019-01-03_06,96745.73
2019-01-03_12,97088.87
2019-01-03_18,97216.8
2019-01-04_00,97370.945
2019-01-04_06,96990.33
2019-01-04_12,96684.18
2019-01-04_18,96207.25
2019-01-05_00,96074.44
2019-01-05_06,95708.94
2019-01-05_12,95978.25
2019-01-05_18,96206.55
2019-01-06_00,96437.984
2019-01-06_06,96280.4
2019-01-06_12,96400.875
2019-01-06_18,96349.66
2019-01-07_00,96515.92
2019-01-07_06,96374.98
2019-01-07_12,96533.01
2019-01-07_18,96379.23
2019-01-08_00,96341.84
2019-01-08_06,95888.11
2019-01-08_12,95839.55
2019-01-08_18,95798.0
2019-01-09_00,96458.2
2019-01-09_06,96627.08
2019-01-09_12,96871.85
2019-01-09_18,96723.29
2019-01-10_00,96550.69
2019-01-10_06,95988.086
2019-01-10_12,95885.914
2019-01-10_18,95919.77
2019-01-11_00,96280.47
2019-01-11_06,96343.555
2019-01-11_12,96704.03
2019-01-11_18,96567.26
2019-01-12_00,96571.07
2019-01-12_06,96205.71
2019-01-12_12,96279.54
2019-01-12_18,96264.55
2019-01-13_00,96393.36
2019-01-13_06,96247.36
2019-01-13_12,96564.086
2019-01-13_18,96571.83
2019-01-14_00,96758.86
2019-01-14_06,96626.47
2019-01-14_12,96872.46
2019-01-14_18,96846.164
2019-01-15_00,96780.984
2019-01-15_06,96184.4
2019-01-15_12,95889.75
2019-01-15_18,95570.73
2019-01-16_00,95844.7
2019-01-16_06,95822.44
2019-01-16_12,96038.99
2019-01-16_18,95854.86
2019-01-17_00,95813.33
2019-01-17_06,95418.41
2019-01-17_12,95493.51
2019-01-17_18,95813.58
2019-01-18_00,96185.23
2019-01-18_06,96155.34
2019-01-18_12,96510.23
2019-01-18_18,96537.84
2019-01-19_00,96666.336
2019-01-19_06,96444.484
2019-01-19_12,96436.42
2019-01-19_18,96053.81
2019-01-20_00,95651.66
2019-01-20_06,94909.13
2019-01-20_12,95189.04
2019-01-20_18,95421.92
2019-01-21_00,95782.55
2019-01-21_06,95566.28
2019-01-21_12,95611.06
2019-01-21_18,95498.51
2019-01-22_00,95635.2
2019-01-22_06,95703.22
2019-01-22_12,95999.61
2019-01-22_18,96022.17
2019-01-23_00,95988.04
2019-01-23_06,95555.62
2019-01-23_12,95432.79
2019-01-23_18,95535.48
2019-01-24_00,95778.71
2019-01-24_06,95796.7
2019-01-24_12,96099.05
2019-01-24_18,96161.16
2019-01-25_00,96225.39
2019-01-25_06,95894.77
2019-01-25_12,95648.484
2019-01-25_18,95169.14
2019-01-26_00,95127.516
2019-01-26_06,95005.34
2019-01-26_12,95464.65
2019-01-26_18,95740.04
2019-01-27_00,96165.234
2019-01-27_06,96219.9
2019-01-27_12,96437.65
