Date,Average pressure [Pa]
2020-01-01_00,93763.41
2020-01-01_06,93591.164
2020-01-01_12,94092.77
2020-01-01_18,94043.6
2020-01-02_00,94160.57
2020-01-02_06,93829.56
2020-01-02_12,94090.53
2020-01-02_18,93928.17
2020-01-03_00,93952.61
2020-01-03_06,93451.24
2020-01-03_12,93583.445
2020-01-03_18,93461.59
2020-01-04_00,93495.75
2020-01-04_06,93158.5
2020-01-04_12,93488.99
2020-01-04_18,93743.164
2020-01-05_00,94069.58
2020-01-05_06,94000.09
2020-01-05_12,94317.73
2020-01-05_18,94189.914
2020-01-06_00,94160.11
2020-01-06_06,93962.984
2020-01-06_12,94111.94
2020-01-06_18,93859.94
2020-01-07_00,93908.23
2020-01-07_06,93605.81
2020-01-07_12,93768.36
2020-01-07_18,93772.85
2020-01-08_00,93889.11
2020-01-08_06,93705.91
2020-01-08_12,93983.96
2020-01-08_18,93909.445
2020-01-09_00,94074.266
2020-01-09_06,93806.79
2020-01-09_12,93882.55
2020-01-09_18,93679.47
2020-01-10_00,93558.836
2020-01-10_06,93012.13
2020-01-10_12,93162.45
2020-01-10_18,93381.79
2020-01-11_00,93646.44
2020-01-11_06,93505.3
2020-01-11_12,93936.03
2020-01-11_18,93893.06
2020-01-12_00,94064.36
2020-01-12_06,93929.664
2020-01-12_12,94221.97
2020-01-12_18,94088.94
2020-01-13_00,94153.0
2020-01-13_06,93851.195
2020-01-13_12,94064.016
2020-01-13_18,93942.97
2020-01-14_00,94065.89
2020-01-14_06,93705.08
2020-01-14_12,93891.26
2020-01-14_18,93656.766
2020-01-15_00,93708.62
2020-01-15_06,93338.695
2020-01-15_12,93355.445
2020-01-15_18,93123.78
2020-01-16_00,93155.15
2020-01-16_06,92997.29
2020-01-16_12,93240.92
2020-01-16_18,93177.27
2020-01-17_00,93418.31
2020-01-17_06,93315.75
2020-01-17_12,93530.125
2020-01-17_18,93330.15
2020-01-18_00,93434.23
2020-01-18_06,93154.03
2020-01-18_12,93367.38
2020-01-18_18,93160.94
2020-01-19_00,93228.88
2020-01-19_06,92806.16
2020-01-19_12,92984.81
2020-01-19_18,92743.164
2020-01-20_00,92828.95
2020-01-20_06,92693.09
2020-01-20_12,93034.445
2020-01-20_18,92994.09
2020-01-21_00,93362.65
2020-01-21_06,93245.07
2020-01-21_12,93476.88
2020-01-21_18,93406.34
2020-01-22_00,93482.35
2020-01-22_06,93055.86
2020-01-22_12,93079.08
2020-01-22_18,92798.29
2020-01-23_00,92697.36
2020-01-23_06,92632.1
2020-01-23_12,93036.57
2020-01-23_18,93214.914
2020-01-24_00,93525.61
2020-01-24_06,93355.2
2020-01-24_12,93740.38
2020-01-24_18,93676.49
2020-01-25_00,93850.56
2020-01-25_06,93495.016
2020-01-25_12,93697.31
2020-01-25_18,93582.74
2020-01-26_00,93747.39
2020-01-26_06,93465.36
2020-01-26_12,93717.97
2020-01-26_18,93770.97
2020-01-27_00,93883.96
2020-01-27_06,93519.12
2020-01-27_12,93751.414
2020-01-27_18,93639.33
2020-01-28_00,93772.7
2020-01-28_06,93484.57
2020-01-28_12,93863.06
2020-01-28_18,93889.06
2020-01-29_00,94031.01
2020-01-29_06,93758.33
2020-01-29_12,94054.62
2020-01-29_18,93968.484
2020-01-30_00,94045.44
2020-01-30_06,93675.83
2020-01-30_12,93878.49
2020-01-30_18,93834.4
2020-01-31_00,93944.945
2020-01-31_06,93542.234
2020-01-31_12,93651.586
2020-01-31_18,93622.9
2020-02-01_00,93755.23
2020-02-01_06,93309.89
2020-02-01_12,93366.625
2020-02-01_18,93247.73
2020-02-02_00,93374.93
2020-02-02_06,93191.92
2020-02-02_12,93429.32
2020-02-02_18,93190.11
2020-02-03_00,93281.055
2020-02-03_06,93184.766
2020-02-03_12,93749.68
2020-02-03_18,93944.945
2020-02-04_00,94243.04
2020-02-04_06,94045.83
2020-02-04_12,94351.69
2020-02-04_18,94182.25
2020-02-05_00,94275.195
2020-02-05_06,93975.05
2020-02-05_12,94318.77
2020-02-05_18,94261.55
2020-02-06_00,94467.26
2020-02-06_06,94280.08
2020-02-06_12,94455.27
2020-02-06_18,94224.875
2020-02-07_00,94364.52
2020-02-07_06,94115.41
2020-02-07_12,94267.99
2020-02-07_18,94076.71
2020-02-08_00,94175.484
2020-02-08_06,94009.766
2020-02-08_12,94092.6
2020-02-08_18,93791.99
2020-02-09_00,93721.0
2020-02-09_06,93178.61
2020-02-09_12,93325.15
2020-02-09_18,93202.86
2020-02-10_00,93344.51
2020-02-10_06,93112.89
2020-02-10_12,93360.5
2020-02-10_18,93249.125
2020-02-11_00,93360.766
2020-02-11_06,93139.52
2020-02-11_12,93408.25
2020-02-11_18,93297.36
2020-02-12_00,93500.98
2020-02-12_06,93343.484
2020-02-12_12,93594.875
2020-02-12_18,93454.25
2020-02-13_00,93591.21
2020-02-13_06,93391.73
2020-02-13_12,93617.234
2020-02-13_18,93417.26
2020-02-14_00,93416.6
2020-02-14_06,93011.74
2020-02-14_12,93108.94
2020-02-14_18,92947.56
2020-02-15_00,93170.44
2020-02-15_06,93119.77
2020-02-15_12,93445.016
2020-02-15_18,93492.67
2020-02-16_00,93805.664
2020-02-16_06,93646.07
2020-02-16_12,93850.78
2020-02-16_18,93694.21
2020-02-17_00,93760.45
2020-02-17_06,93443.58
2020-02-17_12,93564.43
2020-02-17_18,93391.21
2020-02-18_00,93382.08
2020-02-18_06,92885.305
2020-02-18_12,92975.44
2020-02-18_18,92902.734
2020-02-19_00,93069.14
2020-02-19_06,93001.24
2020-02-19_12,93289.33
2020-02-19_18,93245.97
2020-02-20_00,93514.6
2020-02-20_06,93395.22
2020-02-20_12,93698.484
2020-02-20_18,93733.375
2020-02-21_00,93973.09
2020-02-21_06,93806.734
2020-02-21_12,94230.27
2020-02-21_18,94372.266
2020-02-22_00,94591.58
2020-02-22_06,94361.625
2020-02-22_12,94576.34
2020-02-22_18,94538.55
2020-02-23_00,94666.164
2020-02-23_06,94382.836
2020-02-23_12,94537.625
2020-02-23_18,94388.375
2020-02-24_00,94429.47
2020-02-24_06,94031.445
2020-02-24_12,94182.79
2020-02-24_18,94010.74
2020-02-25_00,93987.13
2020-02-25_06,93574.78
2020-02-25_12,93594.945
2020-02-25_18,93328.71
2020-02-26_00,93280.4
2020-02-26_06,93094.336
2020-02-26_12,93328.98
2020-02-26_18,93344.164
2020-02-27_00,93454.445
2020-02-27_06,93172.68
2020-02-27_12,93423.63
2020-02-27_18,93367.65
2020-02-28_00,93631.16
2020-02-28_06,93515.99
2020-02-28_12,93953.22
2020-02-28_18,93925.39
2020-02-29_00,94014.914
2020-02-29_06,93653.1
2020-02-29_12,93800.39
2020-02-29_18,93671.14
2020-03-01_00,93767.336
2020-03-01_06,93357.766
2020-03-01_12,93501.17
2020-03-01_18,93367.45
2020-03-02_00,93607.375
2020-03-02_06,93557.516
2020-03-02_12,93887.016
2020-03-02_18,93966.67
2020-03-03_00,94201.05
2020-03-03_06,94115.11
2020-03-03_12,94302.0
2020-03-03_18,94100.56
2020-03-04_00,94154.69
2020-03-04_06,93817.38
2020-03-04_12,93852.05
2020-03-04_18,93441.945
2020-03-05_00,93323.37
2020-03-05_06,92978.03
2020-03-05_12,93128.1
2020-03-05_18,93111.45
2020-03-06_00,93479.15
2020-03-06_06,93486.59
2020-03-06_12,93918.8
2020-03-06_18,93980.86
2020-03-07_00,94300.3
2020-03-07_06,94155.34
2020-03-07_12,94392.19
2020-03-07_18,94207.16
2020-03-08_00,94363.87
2020-03-08_06,94061.4
2020-03-08_12,94255.59
