Date,Average pressure [Pa]
2020-01-01_00,101259.11
2020-01-01_06,101163.82
2020-01-01_12,101179.49
2020-01-01_18,100979.15
2020-01-02_00,100736.74
2020-01-02_06,100377.61
2020-01-02_12,100100.3
2020-01-02_18,99670.75
2020-01-03_00,99558.86
2020-01-03_06,99934.836
2020-01-03_12,100951.02
2020-01-03_18,101472.92
2020-01-04_00,101715.28
2020-01-04_06,101688.97
2020-01-04_12,101849.93
2020-01-04_18,101834.96
2020-01-05_00,101751.61
2020-01-05_06,101612.59
2020-01-05_12,101536.48
2020-01-05_18,101334.836
2020-01-06_00,100925.734
2020-01-06_06,100412.59
2020-01-06_12,99877.17
2020-01-06_18,100097.83
2020-01-07_00,100543.38
2020-01-07_06,100474.17
2020-01-07_12,100258.59
2020-01-07_18,99998.63
2020-01-08_00,100134.81
2020-01-08_06,100449.266
2020-01-08_12,100644.12
2020-01-08_18,100283.664
2020-01-09_00,99011.766
2020-01-09_06,98874.76
2020-01-09_12,98805.984
2020-01-09_18,98776.734
2020-01-10_00,99711.57
2020-01-10_06,100516.43
2020-01-10_12,100978.08
2020-01-10_18,100948.586
2020-01-11_00,100856.59
2020-01-11_06,100590.06
2020-01-11_12,100357.516
2020-01-11_18,100105.56
2020-01-12_00,99753.81
2020-01-12_06,99724.195
2020-01-12_12,100216.5
2020-01-12_18,100264.72
2020-01-13_00,100085.42
2020-01-13_06,99525.02
2020-01-13_12,98462.45
2020-01-13_18,97509.375
2020-01-14_00,97776.83
2020-01-14_06,97770.31
2020-01-14_12,97272.12
2020-01-14_18,97411.06
2020-01-15_00,97873.46
2020-01-15_06,98242.21
2020-01-15_12,98905.836
2020-01-15_18,99510.89
2020-01-16_00,99813.74
2020-01-16_06,99575.805
2020-01-16_12,98821.39
2020-01-16_18,98802.27
2020-01-17_00,98878.08
2020-01-17_06,98848.17
2020-01-17_12,99612.16
2020-01-17_18,99948.9
2020-01-18_00,100489.305
2020-01-18_06,100845.83
2020-01-18_12,101255.27
2020-01-18_18,101616.41
2020-01-19_00,102114.82
2020-01-19_06,102557.72
2020-01-19_12,102925.83
2020-01-19_18,103121.68
2020-01-20_00,103218.41
2020-01-20_06,103130.59
2020-01-20_12,103125.85
2020-01-20_18,102940.58
2020-01-21_00,102786.086
2020-01-21_06,102566.945
2020-01-21_12,102565.945
2020-01-21_18,102357.125
2020-01-22_00,102324.93
2020-01-22_06,102094.14
2020-01-22_12,102117.75
2020-01-22_18,101968.99
2020-01-23_00,101884.47
2020-01-23_06,101665.695
2020-01-23_12,101501.414
2020-01-23_18,101142.65
2020-01-24_00,100996.7
2020-01-24_06,100732.94
2020-01-24_12,100700.54
2020-01-24_18,100522.586
2020-01-25_00,100399.0
2020-01-25_06,100129.78
2020-01-25_12,100059.42
2020-01-25_18,99708.52
2020-01-26_00,99488.016
2020-01-26_06,99164.58
2020-01-26_12,98899.22
2020-01-26_18,98859.64
2020-01-27_00,98674.195
2020-01-27_06,98429.664
2020-01-27_12,98200.24
2020-01-27_18,97601.83
2020-01-28_00,97418.016
2020-01-28_06,97690.04
2020-01-28_12,98035.72
2020-01-28_18,98432.81
2020-01-29_00,98762.65
2020-01-29_06,99155.59
2020-01-29_12,99415.164
2020-01-29_18,99346.22
2020-01-30_00,99238.41
2020-01-30_06,98694.19
2020-01-30_12,98403.1
2020-01-30_18,98646.9
2020-01-31_00,98919.164
2020-01-31_06,98939.5
2020-01-31_12,98873.46
2020-01-31_18,98595.945
2020-02-01_00,98462.65
2020-02-01_06,98487.234
2020-02-01_12,98861.55
2020-02-01_18,99284.055
2020-02-02_00,99135.48
2020-02-02_06,98517.7
2020-02-02_12,99184.79
2020-02-02_18,99154.95
2020-02-03_00,99380.27
