Date,Average pressure [Pa]
2020-01-01_00,102100.91
2020-01-01_06,101819.68
2020-01-01_12,101991.99
2020-01-01_18,101845.945
2020-01-02_00,102060.96
2020-01-02_06,101770.58
2020-01-02_12,101974.125
2020-01-02_18,101787.16
2020-01-03_00,102001.44
2020-01-03_06,101635.23
2020-01-03_12,101766.65
2020-01-03_18,101569.8
2020-01-04_00,101800.44
2020-01-04_06,101515.92
2020-01-04_12,101717.12
2020-01-04_18,101602.93
2020-01-05_00,101890.28
2020-01-05_06,101658.69
2020-01-05_12,101893.51
2020-01-05_18,101775.85
2020-01-06_00,102055.42
2020-01-06_06,101754.0
2020-01-06_12,101923.266
2020-01-06_18,101829.86
2020-01-07_00,101968.77
2020-01-07_06,101671.83
2020-01-07_12,101871.875
2020-01-07_18,101758.01
2020-01-08_00,101897.31
2020-01-08_06,101511.375
2020-01-08_12,101671.85
2020-01-08_18,101490.305
2020-01-09_00,101628.56
2020-01-09_06,101369.29
2020-01-09_12,101509.5
2020-01-09_18,101322.05
2020-01-10_00,101539.305
2020-01-10_06,101217.6
2020-01-10_12,101388.625
2020-01-10_18,101218.9
2020-01-11_00,101427.69
2020-01-11_06,101128.734
2020-01-11_12,101339.16
2020-01-11_18,101136.03
2020-01-12_00,101362.016
2020-01-12_06,101034.35
2020-01-12_12,101334.47
2020-01-12_18,101184.64
2020-01-13_00,101396.75
2020-01-13_06,101242.6
2020-01-13_12,101512.06
2020-01-13_18,101280.86
2020-01-14_00,101544.8
2020-01-14_06,101242.19
2020-01-14_12,101464.305
2020-01-14_18,101452.86
2020-01-15_00,101823.07
2020-01-15_06,101451.98
2020-01-15_12,101639.43
2020-01-15_18,101549.56
2020-01-16_00,101670.38
2020-01-16_06,101359.79
2020-01-16_12,101578.42
2020-01-16_18,101402.27
2020-01-17_00,101598.78
2020-01-17_06,101189.19
2020-01-17_12,101331.3
2020-01-17_18,101139.13
2020-01-18_00,101388.52
2020-01-18_06,101113.41
2020-01-18_12,101419.73
2020-01-18_18,101309.375
2020-01-19_00,101623.02
2020-01-19_06,101450.69
2020-01-19_12,101717.625
2020-01-19_18,101607.23
2020-01-20_00,101910.984
2020-01-20_06,101663.41
2020-01-20_12,101955.93
2020-01-20_18,101791.36
2020-01-21_00,102077.49
2020-01-21_06,101867.336
2020-01-21_12,102151.1
2020-01-21_18,102006.734
2020-01-22_00,102276.1
2020-01-22_06,102008.984
2020-01-22_12,102176.734
2020-01-22_18,102007.27
2020-01-23_00,102229.78
2020-01-23_06,101903.98
2020-01-23_12,102013.914
2020-01-23_18,101919.21
2020-01-24_00,102087.33
2020-01-24_06,101805.984
2020-01-24_12,101994.29
2020-01-24_18,101862.82
2020-01-25_00,102022.83
2020-01-25_06,101676.266
2020-01-25_12,101762.16
2020-01-25_18,101636.26
2020-01-26_00,101738.41
2020-01-26_06,101444.66
2020-01-26_12,101496.875
2020-01-26_18,101360.03
2020-01-27_00,101401.15
2020-01-27_06,101157.79
2020-01-27_12,101323.68
2020-01-27_18,101190.11
2020-01-28_00,101347.31
2020-01-28_06,101099.805
2020-01-28_12,101272.44
2020-01-28_18,101074.61
2020-01-29_00,101236.086
2020-01-29_06,100903.25
2020-01-29_12,101124.54
2020-01-29_18,100923.17
2020-01-30_00,101121.61
2020-01-30_06,100799.66
2020-01-30_12,100968.73
2020-01-30_18,100769.555
2020-01-31_00,101146.51
2020-01-31_06,101059.42
2020-01-31_12,101414.086
2020-01-31_18,101452.195
2020-02-01_00,101755.62
2020-02-01_06,101532.55
2020-02-01_12,101811.16
2020-02-01_18,101749.29
2020-02-02_00,102010.086
2020-02-02_06,101821.61
2020-02-02_12,102003.93
2020-02-02_18,101819.41
2020-02-03_00,102094.336
2020-02-03_06,101765.234
2020-02-03_12,102041.086
2020-02-03_18,101818.38
2020-02-04_00,101997.336
2020-02-04_06,101611.84
2020-02-04_12,101777.47
2020-02-04_18,101528.34
2020-02-05_00,101652.93
2020-02-05_06,101316.06
2020-02-05_12,101561.35
2020-02-05_18,101556.47
2020-02-06_00,101904.37
2020-02-06_06,101696.09
2020-02-06_12,101934.96
2020-02-06_18,101853.0
2020-02-07_00,102015.305
2020-02-07_06,101817.36
2020-02-07_12,101974.24
2020-02-07_18,101682.18
2020-02-08_00,101729.39
2020-02-08_06,101382.03
2020-02-08_12,101457.445
2020-02-08_18,101292.38
2020-02-09_00,101662.41
2020-02-09_06,101434.08
2020-02-09_12,101647.414
2020-02-09_18,101554.42
2020-02-10_00,101948.02
2020-02-10_06,101757.42
2020-02-10_12,102033.16
2020-02-10_18,102007.72
2020-02-11_00,102386.55
2020-02-11_06,102215.695
2020-02-11_12,102366.84
2020-02-11_18,102235.64
2020-02-12_00,102484.96
2020-02-12_06,102199.734
2020-02-12_12,102310.89
2020-02-12_18,102161.28
2020-02-13_00,102355.27
2020-02-13_06,102054.62
2020-02-13_12,102201.22
2020-02-13_18,102056.71
2020-02-14_00,102300.195
2020-02-14_06,101996.51
2020-02-14_12,102149.95
2020-02-14_18,102014.75
2020-02-15_00,102222.78
2020-02-15_06,101872.9
2020-02-15_12,102067.67
2020-02-15_18,101766.5
2020-02-16_00,102048.24
2020-02-16_06,101704.27
2020-02-16_12,101905.47
2020-02-16_18,101671.555
2020-02-17_00,101900.3
2020-02-17_06,101591.234
2020-02-17_12,101795.68
2020-02-17_18,101674.805
2020-02-18_00,101831.3
2020-02-18_06,101609.914
2020-02-18_12,101918.016
2020-02-18_18,101808.984
2020-02-19_00,102070.7
2020-02-19_06,101828.195
2020-02-19_12,102060.03
2020-02-19_18,101868.234
2020-02-20_00,102056.01
2020-02-20_06,101874.91
2020-02-20_12,102142.625
2020-02-20_18,102026.34
2020-02-21_00,102235.984
2020-02-21_06,102026.66
2020-02-21_12,102251.76
2020-02-21_18,102112.5
2020-02-22_00,102362.28
2020-02-22_06,102077.25
2020-02-22_12,102250.95
2020-02-22_18,102015.89
2020-02-23_00,102284.52
2020-02-23_06,101997.68
2020-02-23_12,102193.875
2020-02-23_18,102066.89
2020-02-24_00,102265.016
2020-02-24_06,101973.24
2020-02-24_12,102163.26
2020-02-24_18,101987.305
2020-02-25_00,102188.305
2020-02-25_06,101858.766
2020-02-25_12,102014.48
2020-02-25_18,101813.87
2020-02-26_00,102008.13
2020-02-26_06,101661.52
2020-02-26_12,101811.4
2020-02-26_18,101635.57
2020-02-27_00,101816.555
2020-02-27_06,101548.07
2020-02-27_12,101748.24
2020-02-27_18,101619.6
2020-02-28_00,101854.59
2020-02-28_06,101586.305
2020-02-28_12,101771.19
2020-02-28_18,101707.42
2020-02-29_00,101941.87
2020-02-29_06,101613.65
2020-02-29_12,101748.05
2020-02-29_18,101643.016
2020-03-01_00,101867.73
2020-03-01_06,101540.97
2020-03-01_12,101762.89
2020-03-01_18,101583.08
2020-03-02_00,101874.17
2020-03-02_06,101578.61
2020-03-02_12,101758.11
2020-03-02_18,101580.34
2020-03-03_00,101927.61
2020-03-03_06,101574.875
2020-03-03_12,101772.7
2020-03-03_18,101595.09
2020-03-04_00,101790.625
2020-03-04_06,101498.63
2020-03-04_12,101590.33
2020-03-04_18,101392.336
2020-03-05_00,101563.21
2020-03-05_06,101249.91
2020-03-05_12,101482.4
2020-03-05_18,101396.22
2020-03-06_00,101676.805
2020-03-06_06,101473.31
2020-03-06_12,101734.42
2020-03-06_18,101569.92
2020-03-07_00,101797.95
2020-03-07_06,101494.016
2020-03-07_12,101703.516
2020-03-07_18,101495.83
2020-03-08_00,101632.62
2020-03-08_06,101294.6
2020-03-08_12,101436.06
2020-03-08_18,101253.98
2020-03-09_00,101421.875
2020-03-09_06,101118.04
2020-03-09_12,101307.96
2020-03-09_18,101161.086
2020-03-10_00,101418.164
2020-03-10_06,101236.87
2020-03-10_12,101479.42
2020-03-10_18,101421.164
2020-03-11_00,101703.76
2020-03-11_06,101547.805
2020-03-11_12,101773.07
2020-03-11_18,101712.26
2020-03-12_00,102039.65
2020-03-12_06,101804.76
2020-03-12_12,101983.03
2020-03-12_18,101798.34
2020-03-13_00,101935.28
2020-03-13_06,101598.17
2020-03-13_12,101681.32
2020-03-13_18,101359.28
2020-03-14_00,101450.76
2020-03-14_06,101078.39
2020-03-14_12,101195.164
2020-03-14_18,101019.6
2020-03-15_00,101308.52
2020-03-15_06,101087.16
2020-03-15_12,101425.63
2020-03-15_18,101284.055
2020-03-16_00,101706.96
2020-03-16_06,101577.805
2020-03-16_12,101873.195
2020-03-16_18,101769.38
2020-03-17_00,102043.31
2020-03-17_06,101757.72
2020-03-17_12,101897.73
2020-03-17_18,101737.74
2020-03-18_00,101921.63
2020-03-18_06,101631.88
2020-03-18_12,101829.34
2020-03-18_18,101744.016
2020-03-19_00,101886.305
2020-03-19_06,101565.164
2020-03-19_12,101725.95
2020-03-19_18,101613.16
2020-03-20_00,101825.63
2020-03-20_06,101570.83
2020-03-20_12,101743.58
2020-03-20_18,101584.28
2020-03-21_00,101883.2
2020-03-21_06,101666.7
2020-03-21_12,101826.78
2020-03-21_18,101635.06
2020-03-22_00,101747.46
2020-03-22_06,101460.55
2020-03-22_12,101623.9
2020-03-22_18,101487.41
2020-03-23_00,101610.305
2020-03-23_06,101220.58
2020-03-23_12,101336.65
2020-03-23_18,101229.93
2020-03-24_00,101406.42
2020-03-24_06,101140.99
2020-03-24_12,101407.375
